category	gate	logical_path	single_responsibility	implementation_contract	owned_inputs	owned_outputs	authoritative_algorithm	required_test	scope_instruction	specific_acceptance
TasksUI	V1	Features/Tasks/TaskRunCard.swift	Running/progress/paused/waiting result visualization	Never invent percentage for unknown-duration external tasks	validated TaskDefinition edits, TaskRun commands	never equate alert sent with AI work done	14 B06	T015/T016/S010	Required V1 deliverable	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/SchedulePicker.swift	Locale-aware date/time/timezone/recurrence UI	Calendar previews at DST boundaries and recurrence dedupe	validated TaskDefinition edits, TaskRun commands	never equate alert sent with AI work done	14 B06	T015/T016/S010	Required V1 deliverable	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/TaskApprovalStrip.swift	Show pending authorizations and ambiguous recovery cases	Policy-approved exact action digest and expiry label	validated TaskDefinition edits, TaskRun commands	never equate alert sent with AI work done	14 B05	T015/T016/S010	Required V1 deliverable	Recurring task creates separate runs and accurate next date; no fake progress.
HistoryUI	V1	Features/History/HistoryView.swift	Search/filter conversation, task-run, audit and attachment activity	Tabs/chips and one shared search coordinator	repository query and redacted export	zero cross-profile result, tombstone/purge	14 B08	T017/T018	Required V1 deliverable	Search excludes other users; audit text redacted, deleted content absent.
HistoryUI	V1	Features/History/HistoryViewModel.swift	Debounced query and stable result pagination	Task cancellation for stale queries and per-type filtering	repository query and redacted export	zero cross-profile result, tombstone/purge	14 B08	T017/T018	Required V1 deliverable	Search excludes other users; audit text redacted, deleted content absent.
HistoryUI	V1	Features/History/HistoryResultRow.swift	Source/date/type/trust snippets and open target	Highlight matched ranges and distinguish AI summaries	repository query and redacted export	zero cross-profile result, tombstone/purge	14 B08	T017/T018	Required V1 deliverable	Search excludes other users; audit text redacted, deleted content absent.
HistoryUI	V1	Features/History/ActionTimelineView.swift	User-readable safe audit chronology of AI/tool decisions	Join by traceID without exposing secrets or hidden reasoning	repository query and redacted export	zero cross-profile result, tombstone/purge	14 B08	T017/T018	Required V1 deliverable	Search excludes other users; audit text redacted, deleted content absent.
HistoryUI	V1	Features/History/HistoryFilterSheet.swift	Date, assistant, type, privacy and provider filters	Validate ranges, persist UI-only selections and reset control	repository query and redacted export	zero cross-profile result, tombstone/purge	14 B08	T017/T018	Required V1 deliverable	Search excludes other users; audit text redacted, deleted content absent.
ConfigUI	V1	Features/Configuration/ConfigurationView.swift	Hub for assistant, AI, provider, voice, memory, tools and privacy	Grouped navigation by behavior rather than app device controls	persisted validated config commands	real enabled controls, BYOK credential test	12 §defaults; 15 §5	T007/T024	Required V1 deliverable	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/AIConfigurationView.swift	Fast/Balanced/Deep/Custom mode, preferences and budgets	Display effective route eligibility and enforce model limits	persisted validated config commands	real enabled controls, BYOK credential test	12 §defaults; 15 §5	T007/T024	Required V1 deliverable	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/ProviderListView.swift	Connect/remove BYOK providers, test and display status	Credential reference only; test call requires explicit user action	persisted validated config commands	real enabled controls, BYOK credential test	12 §defaults; 15 §5	T007/T024	Required V1 deliverable	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/ProviderDetailView.swift	Endpoint/model list/usage/secret rotation and diagnostics	Form HTTPS validation, Keychain write and health-state display	persisted validated config commands	real enabled controls, BYOK credential test	12 §defaults; 15 §5	T007/T024	Required V1 deliverable	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/ModelPickerView.swift	Search installed/remote supported models with capability badges	Filter by hard request features and show stale catalog warning	persisted validated config commands	real enabled controls, BYOK credential test	12 §defaults; 15 §5	T007/T024	Required V1 deliverable	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/PrivacyRoutingView.swift	Private/Balanced/Cloud-permitted routing modes	Show exact data leaving device and explicit cloud consent	persisted validated config commands	real enabled controls, BYOK credential test	12 §defaults; 15 §5	T007/T024	Required V1 deliverable	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/VoiceConfigurationView.swift	Assign language, voice, speed and auto-speak per assistant	Enumerate installed options and preview cancellable playback	persisted validated config commands	real enabled controls, BYOK credential test	14 B07	T007/T024	Required V1 deliverable	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/ToolPermissionsView.swift	Read/write tool scopes and default approval policy	Granular permission grant/revoke with consequences preview	persisted validated config commands	real enabled controls, BYOK credential test	12 §defaults; 15 §5	T007/T024	Required V1 deliverable	Every enabled switch changes actual settings and survives restart; errors visible.
SettingsUI	V1	Features/Settings/SettingsView.swift	Navigate application, device and account settings	Group security/storage/appearance/permissions/accessibility/about	reversible user action or denied capability	state persistence, permission disclosure, no fake toggle	15 §§2,7; 13 W12	T020/T025/T027	Required V1 deliverable	Revoke/regrant flows, relaunch persistence and no user data in logs.
SettingsUI	V1	Features/Settings/AppearanceSettingsView.swift	Appearance, text scaling and motion preference	Honor system high contrast, Dynamic Type and Reduce Motion	reversible user action or denied capability	state persistence, permission disclosure, no fake toggle	15 §§2,7; 13 W12	T020/T025/T027	Required V1 deliverable	Revoke/regrant flows, relaunch persistence and no user data in logs.
SettingsUI	V1	Features/Settings/NotificationSettingsView.swift	Notification authorization and per-category choices	Explain OS denial; open system Settings without nag loops	reversible user action or denied capability	state persistence, permission disclosure, no fake toggle	15 §§2,7; 13 W12	T020/T025/T027	Required V1 deliverable	Revoke/regrant flows, relaunch persistence and no user data in logs.
SettingsUI	V1	Features/Settings/PrivacySettingsView.swift	Review system permissions, cloud disclosure and deletion	Single-source-of-truth effective policy and revoke controls	reversible user action or denied capability	state persistence, permission disclosure, no fake toggle	15 §§2,7; 13 W12	T020/T025/T027	Required V1 deliverable	Revoke/regrant flows, relaunch persistence and no user data in logs.
SettingsUI	V1	Features/Settings/SecuritySettingsView.swift	App lock, authentication preference and sensitive previews	Always request LAContext at use site, avoid unprotected screenshots	reversible user action or denied capability	state persistence, permission disclosure, no fake toggle	15 §§2,7; 13 W12	T020/T025/T027	Required V1 deliverable	Revoke/regrant flows, relaunch persistence and no user data in logs.
SettingsUI	V1	Features/Settings/StorageSettingsView.swift	Data counts, retention, exports, safe deletion and index rebuild	Reference-counted storage inspection, confirmation for destructive actions	reversible user action or denied capability	state persistence, permission disclosure, no fake toggle	15 §§2,7; 13 W12	T020/T025/T027	Required V1 deliverable	Revoke/regrant flows, relaunch persistence and no user data in logs.
SettingsUI	V1	Features/Settings/DiagnosticsView.swift	Connectivity, model, permissions, failures and redacted traces	Opt-in export and copy sanitized diagnostic bundle	reversible user action or denied capability	state persistence, permission disclosure, no fake toggle	15 §§2,7; 13 W12	T020/T025/T027	Required V1 deliverable	Revoke/regrant flows, relaunch persistence and no user data in logs.
SettingsUI	V1	Features/Settings/AboutView.swift	Version, open-source licenses, privacy policy and legal notices	Bundle metadata and dependency notices, no unsupported claims	reversible user action or denied capability	state persistence, permission disclosure, no fake toggle	15 §§2,7; 13 W12	T020/T025/T027	Required V1 deliverable	Revoke/regrant flows, relaunch persistence and no user data in logs.
AssistantUI	V1	Features/Assistant/AssistantProfileView.swift	Edit the independent Maya/Saar identity and behavior	Validated user-owned fields, per-assistant override scope	typed assistant profile change	Maya/Saar independent persistence and voice/asset checks	12 §product; 13 W04	T002	Required V1 deliverable	Rename/switch independently, persist, reject empty/overlong names and owner switch.
AssistantUI	V1	Features/Assistant/AssistantSwitcher.swift	Switch active assistant from dashboard and chat	Atomic active ID switch; preserve per-conversation assistant identity	typed assistant profile change	Maya/Saar independent persistence and voice/asset checks	12 §product; 13 W04	T002	Required V1 deliverable	Rename/switch independently, persist, reject empty/overlong names and owner switch.
AssistantUI	V1	Features/Assistant/AssistantNameEditor.swift	Rename either assistant with accessible error messages	Trim, grapheme-length limit, case preserving and duplicate policy	typed assistant profile change	Maya/Saar independent persistence and voice/asset checks	12 §product; 13 W04	T002	Required V1 deliverable	Rename/switch independently, persist, reject empty/overlong names and owner switch.
AssistantUI	V1	Features/Assistant/AssistantVoicePreview.swift	Preview selected voice without recording microphone	Speak cancellable sample with per-profile rate and locale	typed assistant profile change	Maya/Saar independent persistence and voice/asset checks	14 B07	T002	Required V1 deliverable	Rename/switch independently, persist, reject empty/overlong names and owner switch.
MemoryUI	V1	Features/Memory/MemoryBrowserView.swift	Browse saved, inferred, stale, pinned and conflicting facts	Owner-scoped sections; editable provenance and delete	MemoryItem source/revision change	provenance + explicit approval + deletion purge	14 B04/B08	T018	Required V1 deliverable	Expired/deleted memories disappear from context and optional index immediately.
MemoryUI	V1	Features/Memory/MemoryEditorView.swift	Add, verify, correct or expire an individual memory	Optimistic revision and user-verified promotion	MemoryItem source/revision change	provenance + explicit approval + deletion purge	14 B04/B08	T018	Required V1 deliverable	Expired/deleted memories disappear from context and optional index immediately.
MemoryUI	V1	Features/Memory/MemorySourceView.swift	Display source conversation/time/privacy and confidence limitations	Citation-like source references; mark unavailable/deleted sources	MemoryItem source/revision change	provenance + explicit approval + deletion purge	14 B04/B08	T018	Required V1 deliverable	Expired/deleted memories disappear from context and optional index immediately.
MemoryUI	V1	Features/Memory/MemoryReviewQueue.swift	Approve/reject AI-proposed memories	Default deny auto-admission for sensitive/inferred claims	MemoryItem source/revision change	provenance + explicit approval + deletion purge	14 B04/B08	T018	Required V1 deliverable	Expired/deleted memories disappear from context and optional index immediately.
ApprovalsUI	V1	Features/Approvals/ApprovalCenterView.swift	Review pending actions and unknown outcomes	Separate pending, expired, rejected, ambiguous tabs	one-use approval or reject event	display actual destination/side effect and race-safe approval	14 B05	T012/S004	Required V1 deliverable	Approval expires, edits invalidate approval, duplicate tap executes once.
ApprovalsUI	V1	Features/Approvals/ApprovalDetailView.swift	Exact destination/scope/payload preview before authorization	Bind consent to immutable parameter digest and TTL	one-use approval or reject event	display actual destination/side effect and race-safe approval	14 B05	T012/S004	Required V1 deliverable	Approval expires, edits invalidate approval, duplicate tap executes once.
ApprovalsUI	V1	Features/Approvals/ApprovalViewModel.swift	Refresh outstanding approvals and resolve decisions	Serialize decision persistence; reject stale task revisions	one-use approval or reject event	display actual destination/side effect and race-safe approval	14 B05	T012/S004	Required V1 deliverable	Approval expires, edits invalidate approval, duplicate tap executes once.
OnboardingUI	V1	Features/Onboarding/OnboardingView.swift	First-launch assistant, locale, privacy and provider walkthrough	Skippable advanced setup, honest offline/core capability description	valid local profile and optional provider config	no forced cloud login or bundled key	12 §defaults; 13 W03/W12	T001/T007	Required V1 deliverable	Skip optional provider and still launch offline; onboarding resumable after force quit.
OnboardingUI	V1	Features/Onboarding/LocalProfileSetup.swift	Create one local individual profile on device	Random stable ID and separate data namespace, no fake cloud account	valid local profile and optional provider config	no forced cloud login or bundled key	12 §defaults; 13 W03/W12	T001/T007	Required V1 deliverable	Skip optional provider and still launch offline; onboarding resumable after force quit.
OnboardingUI	V1	Features/Onboarding/ProviderSetupView.swift	Add personal BYOK credentials or continue local-only	Use Keychain; explicit endpoint and external-data disclosure	valid local profile and optional provider config	no forced cloud login or bundled key	12 §defaults; 13 W03/W12	T001/T007	Required V1 deliverable	Skip optional provider and still launch offline; onboarding resumable after force quit.
OnboardingUI	V1	Features/Onboarding/PermissionEducationView.swift	Explain just-in-time microphone/speech/notification usage	No blanket permission prompt; configure OS capabilities on first use	valid local profile and optional provider config	no forced cloud login or bundled key	12 §defaults; 13 W03/W12	T001/T007	Required V1 deliverable	Skip optional provider and still launch offline; onboarding resumable after force quit.
Integrations	V1	Integrations/IntegrationRegistry.swift	List native and future cloud integrations by capability	Installed/permissioned/connected effective-state query	typed allowed system operation	OS permission check and no auto retry after ambiguity	14 B05; 15 §4	T014/S003	Required V1 deliverable	Denied access, revoked mid-task, duplicate write and unsupported framework paths.
Integrations	V1	Integrations/CalendarAdapter.swift	Bridge EventKit event create/read/delete permission checks	Typed EventKit conversion and durable event IDs	typed allowed system operation	OS permission check and no auto retry after ambiguity	14 B05; 15 §4	T014/S003	Required V1 deliverable	Denied access, revoked mid-task, duplicate write and unsupported framework paths.
Integrations	V1	Integrations/ContactsAdapter.swift	Read only narrowly requested local contact fields	Minimum-field request and private-data disclosure policy	typed allowed system operation	OS permission check and no auto retry after ambiguity	14 B05; 15 §4	T014/S003	Required V1 deliverable	Denied access, revoked mid-task, duplicate write and unsupported framework paths.
Integrations	V1	Integrations/RemindersAdapter.swift	Bridge EventKit Reminders when enabled, separate from local notifications	Per-item unique IDs and authorization status	typed allowed system operation	OS permission check and no auto retry after ambiguity	14 B06	T014/S003	Required V1 deliverable	Denied access, revoked mid-task, duplicate write and unsupported framework paths.
Integrations	V1	Integrations/ShortcutsBridge.swift	Represent reusable app actions for future App Intents	No assumption Shortcuts registration works in .swiftpm; app command reuse	typed allowed system operation	OS permission check and no auto retry after ambiguity	14 B05; 15 §4	T014/S003	Required V1 deliverable	Denied access, revoked mid-task, duplicate write and unsupported framework paths.
Integrations	V1	Integrations/URLLauncher.swift	Dispatch allowlisted URLs to system app handlers	Can-open check + explicit UI initiation; do not assert app takeover	typed allowed system operation	OS permission check and no auto retry after ambiguity	14 B05; 15 §4	T014/S003	Required V1 deliverable	Denied access, revoked mid-task, duplicate write and unsupported framework paths.
CloudFuture	NEXT	Cloud/Auth/AppleSignInClient.swift	Later Sign in with Apple account identity handoff	Nonce/state and token verifier on backend; not trust client-supplied UID	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
CloudFuture	NEXT	Cloud/Auth/AccountSession.swift	Server-verified user session and reauthentication state	Expiring token refresh and secure cross-account invalidation	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
CloudFuture	NEXT	Cloud/Sync/SyncService.swift	Interface for account-scoped outbox and cursor changes	Retry-safe upsert, revisions, tombstones and conflict record	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
CloudFuture	NEXT	Cloud/Sync/FirestoreSyncAdapter.swift	Per-user encrypted/authorized document sync	Enforce authenticated uid and narrow security rules, not local owner alone	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
CloudFuture	NEXT	Cloud/Sync/ConflictResolver.swift	Resolve immutable messages and mutable task/settings conflicts	Per-entity merge policy, tombstones, user review for destructive conflict	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
CloudFuture	NEXT	Cloud/Backup/GoogleDriveBackup.swift	AppDataFolder ciphertext upload/download only	OAuth PKCE drive.appdata, versioned archive and checksum	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
CloudFuture	NEXT	Cloud/Backup/BackupArchive.swift	Cross-device encrypted export manifest and restore dry run	Random portable recovery key, AES-GCM + authenticated schema/version	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
CloudFuture	NEXT	Cloud/Gateway/ManagedGatewayClient.swift	Authenticate client to future secret-holding gateway	User-bound short-lived token, quotas and provider-independent HTTP contract	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
CloudFuture	NEXT	Cloud/Gateway/WorkerPolicy.ts	Optional Cloudflare Worker authentication, abuse protection and quota	Verify bearer token server-side, per-user budget and egress allowlist	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
CloudFuture	NEXT	Cloud/Gateway/GatewayDeployment.md	Manual deployment and rollback instructions	Secrets never committed; isolate dev/prod routes and audit logging	protocol spec or separate future backend	must not enable UI, sync claim or app-target dependency	12 §scope; 15 §6	FUTURE-NOT-RUN	Do not ship as active V1 code	Future-specific integration tests specified; V1 gate ensures no enabled dead UI and no secret shipping.
Resources	V1	Resources/Assets.xcassets/Contents.json	Declare the asset catalog namespace	Apple asset catalog metadata schema; bundled resource validation	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	14 B01	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/Assets.xcassets/Maya.imageset/Contents.json	Map Maya image asset to actual filenames/scales	Asset catalog image entry and optimized format validation	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	14 B01	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/Assets.xcassets/Maya.imageset/maya.png	Bundled female assistant image	Static visual resource; consistent avatar state mask and licensing	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	14 B01	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/Assets.xcassets/Saar.imageset/Contents.json	Map Saar image asset to actual filenames/scales	Asset catalog image entry and optimized format validation	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	14 B01	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/Assets.xcassets/Saar.imageset/saar.png	Bundled male assistant image	Static visual resource; consistent avatar state mask and licensing	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	14 B01	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/Assets.xcassets/AppIcon.appiconset/Contents.json	Map app icon images and appearance variants	Asset catalog icon metadata validated against supported target	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	14 B01	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/Assets.xcassets/AppIcon.appiconset/icon-1024.png	Original app icon artwork	1024px master artwork with correct transparency policy at submission	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	14 B01	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/en.lproj/Localizable.strings	English UI labels, privacy prompts and errors	Stable localization keys and format argument consistency	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	12 §assets; 15 §7	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/hi.lproj/Localizable.strings	Hindi UI labels with Hinglish-friendly UX option	Human review, plural/date formatting and mixed-script layout	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	12 §assets; 15 §7	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/ProviderCatalog.json	Bundled known safe default provider capability fallback	JSON schema, URLs, no active key or false model availability	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	12 §assets; 15 §7	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/Prompts/assistant_v1.txt	Versioned generic persona/system safety instructions	User customization injected as data; prompt regression fixtures	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	12 §assets; 15 §7	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Resources	V1	Resources/Prompts/task_planner_v1.txt	Versioned tool-planning and task-extraction instructions	Strict typed schema response; injection and ambiguity tests	validated asset/resource or public configuration	resource loading, fallback, licensing, privacy manifest inspection	12 §assets; 15 §7	S018	Required V1 deliverable	Asset parses/loads on-device, handles missing asset and contains no secret.
Tests	TEST	Tests/Unit/DomainStateMachineTests.swift	Verify legal/illegal task, conversation and approval transitions	Property/table-driven state transition fixtures	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/RouterPolicyTests.swift	Check capability, privacy, offline, budget and fallback filters	Exhaustive policy matrix including zero eligible routes	expected assertion and captured actual evidence	no PASS without real execution and environment	14 B03	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/SSEDecoderTests.swift	Test streaming split-chunk parsing and tool delta reconstruction	Random chunk boundaries, multiline SSE and truncated EOF	expected assertion and captured actual evidence	no PASS without real execution and environment	14 B01	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/ContextBudgetTests.swift	Verify source order, dedup, no cross-owner memory and reserves	Boundary tests for provider context and false token metadata	expected assertion and captured actual evidence	no PASS without real execution and environment	14 B04	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/MemoryConflictTests.swift	Verified/unverified, TTL and contradictory memory rules	Version precedence, expiry and provenance preservation	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/TaskSchedulerTests.swift	Recurrence/DST/timezone/missed-execution behavior	Fixed calendar fixtures including ambiguous/nonexistent clock times	expected assertion and captured actual evidence	no PASS without real execution and environment	14 B06	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/ToolPolicyTests.swift	Authorize/disallow granular tool scopes and prompt injection	Untrusted-document malicious instruction fixture	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/KeychainVaultTests.swift	Store/read/delete/rotation and account namespace isolation	Device-keychain integration tests with cleanup	expected assertion and captured actual evidence	no PASS without real execution and environment	14 B10	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/AttachmentValidationTests.swift	Reject oversize, spoofed MIME and unsafe filenames	Corrupt image, PDF and pathological archive fixtures	expected assertion and captured actual evidence	no PASS without real execution and environment	14 B09	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/VoiceStateTests.swift	Test interruptions and stale transcript suppression	Synthetic interim/final sequence and stop races	expected assertion and captured actual evidence	no PASS without real execution and environment	14 B07	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/SearchRankingTests.swift	Rank exact/recency results and enforce owner scope	Deterministic search fixtures and deleted-item exclusion	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Unit/CryptoBackupTests.swift	AES-GCM encrypt/verify/wrong key/modified data	Golden fixture and cross-device recovery round trip	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Integration/MockProviderFlowTests.swift	Full streaming chat with fake provider and cancellation	Exact event order, partial output and final storage	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Integration/ProviderFailureTests.swift	401/429/5xx/offline, breaker and no privacy-leaking fallback	Recorded mock HTTP responses and Retry-After assertions	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Integration/TaskCrashRecoveryTests.swift	App interrupted after PREPARED external action	No duplicate execution; ambiguous outcome routed to review	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Integration/AccountIsolationTests.swift	Switch account while search/AI/task is in flight	Abort stale work and assert zero other-user data in UI/index	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Integration/StoreMigrationTests.swift	Migrate preserved old database fixture	No data loss, rollback and readable recovery export	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Integration/PermissionMatrixTests.swift	Denied/authorized/restricted/revoked system capabilities	Mock services and manual device permission revocation	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Integration/MemoryPersistenceTests.swift	Verify memory source editing/deletion and search index removal	CRUD-to-index reconciliation under failure	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/Integration/AccessibilityTests.swift	Dynamic Type, VoiceOver labels and Reduce Motion	UI test cases on phone/tablet with manual screen reader pass	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/E2E/ManualDeviceChecklist.md	Script actual iPad Playground import and iPhone distribution test	Record hardware/OS/Playgrounds versions and evidenced results	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/E2E/HindiHinglishVoiceCorpus.md	Human-recorded consented Hindi/Hinglish/English commands	Locale-specific recognition/error and playback comprehension rubric	expected assertion and captured actual evidence	no PASS without real execution and environment	14 B07	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
Tests	TEST	Tests/E2E/ThreatAndPrivacyChecklist.md	Prompt injection, exfiltration, secret logs and deletion audit	Manual red team plus test fixtures; record negative evidence	expected assertion and captured actual evidence	no PASS without real execution and environment	13 W13; 05 test matrix	T001–T028/S001–S018	Test harness only	Case runs independently; expected/actual evidence captured; zero unexplained skips on release blockers.
